qid,type,label,object_description,form_description,design_description,includes
Q102963138,work of art,Censer in the shape of a duck with a hinged lid (dark patina),Censer,a duck with a hinged lid (dark patina),,
Q103298214,work of art,"Censer in the shape of a chicken and a fish, antique style design",Censer,"a chicken and a fish, antique style design",,
Q103298234,ceramics,Ceramic Bottle,Ceramic Bottle,,,
Q103298245,ceramics,Ceramic bottle (one of a pair with 1979.0998P),Ceramic bottle (one of a pair,,,1979.0998P)
Q102963144,ceramics,Ceramic bowl,Ceramic bowl,,,
Q102963149,ceramics,Ceramic Bowl,Ceramic Bowl,,,
Q106582650,ceramics,Ceramic Pitcher,Ceramic Pitcher,,,
Q102963155,ceramics,Ceramic Plate,Ceramic Plate,,,
Q102963161,ceramics,Ceramic platter (plaque) with boar hunting scene,Ceramic platter (plaque),,,boar hunting scene
Q106582651,ceramics,Ceramic reproduction of an ancient pitcher,Ceramic reproduction of an ancient pitcher,,,
Q103298251,ceramics,Ceramic Storage Jar,Ceramic Storage Jar,,,
Q103298264,ceramics,Ceramic storage jar with cream and red buff glazes,Ceramic storage jar,,,cream and red buff glazes
Q106568507,ceramics,Ceramic Tub,Ceramic Tub,,,
Q103298269,work of art,"Ceremonial axe; handle in nephrite, serpentine axe blade","Ceremonial axe; handle in nephrite, serpentine axe blade",,,
Q103298272,sculpture,Ceremonial drum in the shape of a male figure,Ceremonial drum,a male figure,,
Q103298278,weapon,Ceremonial hatchet with a copper handle,Ceremonial hatchet,,,a copper handle
Q103298288,weapon,Ceremonial hatchet with a snakeskin covered handle,Ceremonial hatchet,,,a snakeskin covered handle
Q106582652,sculpture,Ceres (from a Cycle of the Four Seasons),Ceres (from a Cycle of the Four Seasons),,,
Q103298292,ceramics,Chaire (tea caddy),Chaire (tea caddy),,,
Q103298301,work of art,Champion vase,Champion vase,,,
Q103298308,sculpture,"Chang-e, the Moon Goddess","Chang-e, the Moon Goddess",,,
Q103298318,work of art,Charcoal brazier,Charcoal brazier,,,
Q105095980,work of art,Charcoal-shaped chaire (tea caddy) with cricket on lid,Charcoal-shaped chaire (tea caddy),,,cricket on lid
Q102963179,ceramics,Charger with a design of musicians and flowers in a landscape (Kutani ware),Charger,,of musicians and flowers in a landscape (Kutani ware),
Q102963183,ceramics,Charger with designs of court life and scenes from nature,Charger,,of court life and scenes from nature,
Q106582653,ceramics,Charger with a brocade pattern and lotus forms with old men talking (Kutani ware),Charger,,,a brocade pattern and lotus forms with old men talking (Kutani ware)
Q106582654,ceramics,Charger with a design of landscape and figures (Kutani ware),Charger,,of landscape and figures (Kutani ware),
Q102963196,sculpture,Chashaku (tea scoop) with a design of a cricket,Chashaku (tea scoop),,of a cricket,
Q103298335,work of art,Chashaku (tea scoop) with a design of a Banana Leaf,Chashaku (tea scoop),,of a Banana Leaf,
Q104031025,work of art,Chashaku (tea scoop),Chashaku (tea scoop),,,
Q104031027,work of art,Chashaku (tea scoop),Chashaku (tea scoop),,,
Q102963201,ceramics,Chawan (tea bowl) with green glaze,Chawan (tea bowl),,,green glaze
Q102963212,ceramics,Chawan (tea bowl) with with white underglaze and red overglaze,Chawan (tea bowl),,, with white underglaze and red overglaze
Q103298357,sculpture,Checkers Up At the Farm,Checkers Up At the Farm,,,
Q102963216,work of art,Chest of Drawers,Chest of Drawers,,,
Q106568510,headdress,Chi Wara Headdress,Chi Wara Headdress,,,
Q102963225,ceramics,Chicken effigy figurine,Chicken effigy figurine,,,
Q103298382,mask,Chief's Amulet Mask,Chief's Amulet Mask,,,
Q102963242,ceramics,Chimbote vessel,Chimbote vessel,,,
Q106568514,utensil,Chopsticks,Chopsticks,,,
Q103298440,sculpture,Christ as Ruler of All with Five Standing Saints,Christ as Ruler of All,,,Five Standing Saints
Q104031028,sculpture,Christ from a Crucifix,Christ from a Crucifix,,,
Q104031029,sculpture,Christ from a Crucifix,Christ from a Crucifix,,,
Q106582656,ceramics,Circular Eave Tile with an Impressed 16-Petalled Chrysanthemum,Circular Eave Tile,,,an Impressed 16-Petalled Chrysanthemum
Q102963334,work of art,Circular mirror with unreadable design,Circular mirror,,,unreadable design
Q103298472,work of art,Circular Mirror with a Design of a Family Crest with Paulownia,Circular Mirror,,of a Family Crest with Paulownia,
Q103298478,work of art,"Circular Mirror with a Design of a Flat Fan, Flowers, Two Birds, Grasses, and a Water Wheel",Circular Mirror,,"of a Flat Fan, Flowers, Two Birds, Grasses, and a Water Wheel",
Q103298486,work of art,Circular Mirror With a Design of Arrowroot,Circular Mirror,,of Arrowroot,
Q103298492,work of art,Circular Mirror with a Design of Chrysanthemums in a Circle,Circular Mirror,,of Chrysanthemums in a Circle,
Q103298503,work of art,"Circular Mirror with a Design of the Character for Long Life (kotobuki), and Chrysanthemums",Circular Mirror,,"of the Character for Long Life (kotobuki), and Chrysanthemums",
Q103298515,work of art,Circular Mirror with a Tortoise-Shell Pattern with Floral Motifs in Hexagons,Circular Mirror,,,a Tortoise-Shell Pattern with Floral Motifs in Hexagons
Q103298521,sculpture,"Circular Mirror with Outer Border of Early Seal Script Characters, Inner Border of 8 Scallops, and 8 Central Spirals",Circular Mirror,,,"Outer Border of Early Seal Script Characters, Inner Border of 8 Scallops, and 8 Central Spirals"
Q106582657,work of art,"Circular Mirror with a Design of a Fence, Flowers, and Two Butterflies",Circular Mirror,,"of a Fence, Flowers, and Two Butterflies",
Q106582659,work of art,"Circular Mirror With a Design of Taoist Immortals, a Pavilion, a Deer, a Crane, and a Conch Shell",Circular Mirror,,"of Taoist Immortals, a Pavilion, a Deer, a Crane, and a Conch Shell",
Q106582660,work of art,Circular Mirror with a Mythical Beast in the Center,Circular Mirror,,,a Mythical Beast in the Center
Q102963338,ceramics,Circular Suiteki (Water Dropper),Circular Suiteki (Water Dropper),,,
Q103298529,mask,Circumcision Mask,Circumcision Mask,,,
Q103298568,sculpture,Clapper-less Bell with a Winged Deity on a Bull,Clapper-less Bell,,,a Winged Deity on a Bull
Q106582661,work of art,Clasp in the Form of Hotei,Clasp,Hotei,,
Q103298583,ceramics,Clay constructed; Salt-fired (Memorial Urn to Sylvia Hyman),Clay constructed; Salt-fired (Memorial Urn to Sylvia Hyman),,,
Q102963356,ceramics,Clay fragment,Clay fragment,,,
Q102963366,work of art,Cloisonné ashtray,Cloisonné ashtray,,,
Q102963369,work of art,Cloisonné bowl,Cloisonné bowl,,,
Q102963374,work of art,Cloisonne Box,Cloisonne Box,,,
Q104031914,work of art,Cloisonne candlestick,Cloisonne candlestick,,,
Q104031915,work of art,Cloisonne candlestick,Cloisonne candlestick,,,
Q103298588,work of art,Cloisonne vase,Cloisonne vase,,,
Q102963654,textile,Cloth with a Design of an Elephant and a Decorative Border,Cloth,,of an Elephant and a Decorative Border,
Q103298619,textile,Cloth with a Design of a Mask and Decorative Border,Cloth,,of a Mask and Decorative Border,
Q102963665,work of art,Clothed figure of a boar,Clothed figure of a boar,,,
Q103298626,weapon,Club,Club,,,
Q102963683,work of art,Coasters (six in total),Coasters (six in total),,,
Q104031926,coin,Coin,Coin,,,
Q104031927,coin,Coin,Coin,,,
Q104031928,coin,Coin,Coin,,,
Q104031929,coin,Coin,Coin,,,
Q104031930,coin,Coin,Coin,,,
Q104031932,coin,Coin,Coin,,,
Q104031933,coin,Coin,Coin,,,
Q104031934,coin,Coin,Coin,,,
Q104031935,coin,Coin,Coin,,,
Q104031936,coin,Coin,Coin,,,
Q102963693,coin,Coin (reproduction),Coin (reproduction),,,
Q106582662,textile,Collar from a woman's robe,Collar from a woman's robe,,,
Q105095943,ceramics,"Colored porcelain vase with millefior technique, salt-fired",Colored porcelain vase,,,"millefior technique, salt-fired"
Q102963702,work of art,Compass with circular design on lid,Compass,,,circular design on lid
Q103298678,textile,Complete Obi with a design of mountain landscape and men in boats,Complete Obi,,of mountain landscape and men in boats,
Q102963736,ceramics,Cone shaped vessel with human face design on neck,Cone shaped vessel,,,human face design on neck
Q104031939,ceramics,Cone shaped vessel with human face design on neck,Cone shaped vessel,,,human face design on neck
Q103298725,ceramics,Cone-shapped vessel with human face and frogs,Cone-shapped vessel,,,human face and frogs
Q105091712,sculpture,"Consumed, from The Marriage of Venus and Mars","Consumed, from The Marriage of Venus and Mars",,,
Q102963753,work of art,Container,Container,,,
Q102963763,work of art,Container in the form of a Buddhist god's head on three legs with inlaid semi-precious red stones (incense burner),Container,a Buddhist god's head on three legs with inlaid semi-precious red stones (incense burner),,
Q102963769,ceramics,Container in the shape of a squatting figure with broad face and goggles on his head,Container,a squatting figure with broad face and goggles on his head,,
Q102963776,ceramics,Container with a strap handle and human head,Container,,,a strap handle and human head
Q102963782,work of art,Container with swastika design and inscription for Buddhist effigy with drawstring bead (ojime),Container,,,swastika design and inscription for Buddhist effigy with drawstring bead (ojime)
Q103298730,ceramics,Container in the shape of a jaguar,Container,a jaguar,,
Q103298738,work of art,Container in the shape of a llama,Container,a llama,,
Q103298742,ceramics,Container in the shape of a standing female figure,Container,a standing female figure,,
Q103298750,sculpture,Container with Five Peacocks on Lid,Container,,,Five Peacocks on Lid
Q103298758,ceramics,Container with human figure,Container,,,human figure
Q103298768,ceramics,Container with strap handle,Container,,,strap handle
Q103298776,ceramics,Container with the handle in the shape of a face,Container with the handle,a face,,
Q103298821,sculpture,Copy of the discus thrower,Copy of the discus thrower,,,
Q103298901,sculpture,Court lady,Court lady,,,
Q102963906,ceramics,Covered bowl with a landscape design (Kutani ware),Covered bowl,,,a landscape design (Kutani ware)
Q102963910,ceramics,Covered clam shell dish with a design of shell feet and a figure in a landscape (Kutani ware),Covered clam shell dish,,of shell feet and a figure in a landscape (Kutani ware),
Q106582664,ceramics,Covered jar with handles and a design of cranes on white ground with red and gold elsewhere (Kutani ware),Covered jar,,,handles and a design of cranes on white ground with red and gold elsewhere (Kutani ware)
Q102963916,ceramics,Covered Pot,Covered Pot,,,
Q106582665,ceramics,Covered Pot,Covered Pot,,,
Q102963924,ceramics,Covered sugar bowl,Covered sugar bowl,,,
Q103298914,work of art,"Covered vase in the shape of hu (antique bronze vessel) sitting on tree trunk with prunus leaves and two cranes, the cover with leaf-shaped knob",Covered vase,"hu (antique bronze vessel) sitting on tree trunk with prunus leaves and two cranes, the cover with leaf-shaped knob",,
Q103298922,textile,Cream lace,Cream lace,,,
Q102963951,ceramics,Cream-colored bowl,Cream-colored bowl,,,
Q102963957,ceramics,Creamer,Creamer,,,
Q103298927,sculpture,Crested figure,Crested figure,,,
Q102963975,ceramics,Cricket box,Cricket box,,,
Q102963985,ceramics,Cricket cage with a design of various objects,Cricket cage,,of various objects,
Q103298949,sculpture,Crowned Corpus of Christ (from a Limoges workshop),Crowned Corpus of Christ (from a Limoges workshop),,,
Q102964002,ceramics,Cup with an abstract bird design Karatsu ware,Cup,,,an abstract bird design Karatsu ware
Q102964011,ceramics,"Cup with handle, decorated with incised calligraphy (I-hsing ware)",Cup,,,"handle, decorated with incised calligraphy (I-hsing ware)"
Q104031940,ceramics,Cup,Cup,,,
Q104031941,ceramics,Cup,Cup,,,
Q106582666,work of art,Cup,Cup,,,
Q103299043,ceramics,Dancer performing a No dance in the title Hagoromo (The Feathered Robe),Dancer performing a No dance in the title Hagoromo (The Feathered Robe),,,
Q103299049,sculpture,Dancing Deity Relief,Dancing Deity Relief,,,
Q102964070,ceramics,Dark and pale blue dish,Dark and pale blue dish,,,
Q103299090,sculpture,David,David,,,
Q102964173,work of art,Decorated shield,Decorated shield,,,
Q102964178,sculpture,Decorative plate with portraits of an old woman and a young lady dressed in traditional Russian costume,Decorative plate,,,portraits of an old woman and a young lady dressed in traditional Russian costume
Q106582668,ceramics,Decorative plate in a box/case,Decorative plate in a box/case,,,
Q102964209,ceramics,Desk screen with a design in blue underglaze of grass orchids and poem (The fragrance of 100 flowers),Desk screen,,in blue underglaze of grass orchids and poem (The fragrance of 100 flowers),
Q102964263,ceramics,Diamond shaped oribe ware sauce dish with a design in black underglaze of circular patterns,Diamond shaped oribe ware sauce dish,,in black underglaze of circular patterns,
Q102964318,work of art,Ding (vessel),Ding (vessel),,,
Q102964325,ceramics,"Ding ware bowl with brown glaze, incised with lotus flowers and leaves on interior of bowl",Ding ware bowl,,,"brown glaze, incised with lotus flowers and leaves on interior of bowl"
Q106568526,bowl,Ding ware bowl with incised design of pair of swimming ducks amongst lotus leaves and a lotus pod surrounded by waves,Ding ware bowl,,,incised design of pair of swimming ducks amongst lotus leaves and a lotus pod surrounded by waves
Q102964334,ceramics,"Ding ware bowl, with a carved design of two lotuses and leaf vine with a central lotus flower bud","Ding ware bowl,",,,a carved design of two lotuses and leaf vine with a central lotus flower bud
Q103299259,ceramics,"Ding ware ewer, incised with day lilies and flowing vines","Ding ware ewer, incised",,,day lilies and flowing vines
Q102964340,ceramics,Ding ware tea bowl,Ding ware tea bowl,,,
Q94826345,vase,Ding ware vessel with incised designs of lilies,Ding ware vessel,,,incised designs of lilies
Q102964347,work of art,Diquis Head Band,Diquis Head Band,,,
Q102964354,ceramics,Dish with a  design in blue underglaze of a landscape,Dish,,,a  design in blue underglaze of a landscape
Q102964357,ceramics,Dish with a design in black underglaze of abstract floral and geometric design,Dish,,in black underglaze of abstract floral and geometric design,
Q102964361,ceramics,Dish with a design in blue under glaze of a crab,Dish,,in blue under glaze of a crab,
Q102964369,ceramics,Dish with a design in blue under glaze of crabs and a character for longevity,Dish,,in blue under glaze of crabs and a character for longevity,
Q102964376,ceramics,Dish with a design in blue under glaze of crabs and characters for good luck and happiness,Dish,,in blue under glaze of crabs and characters for good luck and happiness,
